re,ri,c,rmse,rsq,alpha,fPeak
646.6,972.6,2.91E-09,0.7,1,0.992,33.8
646.7,971.6,2.93E-09,0.6,1,0.991,33.57
646.7,971.9,2.93E-09,0.6,1,0.991,33.53
646.8,970.9,2.92E-09,0.5,1,0.99,33.68
646.8,971.8,2.90E-09,0.5,1,0.991,33.9
646.7,971.3,2.91E-09,0.6,1,0.991,33.75
646.8,971.5,2.92E-09,0.7,1,0.991,33.66
646.8,971.1,2.92E-09,0.6,1,0.99,33.69
646.7,971.1,2.91E-09,0.6,1,0.991,33.76
646.7,971.5,2.92E-09,0.5,1,0.991,33.65
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
