re,ri,c,rmse,rsq,alpha,fPeak
958.3,660.6,4.65E-09,1.7,1,0.995,21.14
958,661.1,4.65E-09,1.3,1,0.995,21.14
958,661,4.63E-09,1.4,1,0.995,21.22
958.2,661,4.63E-09,1.5,1,0.995,21.23
958.1,660.9,4.63E-09,1.6,1,0.995,21.22
958.2,661.2,4.64E-09,1.6,1,0.995,21.19
958.3,660.8,4.62E-09,1.4,1,0.995,21.28
958.3,661.1,4.64E-09,1.6,1,0.995,21.19
958.1,661.5,4.66E-09,1.6,1,0.995,21.1
958.5,661.1,4.62E-09,1.6,1,0.995,21.25
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
