X,Y,Z,Ω,θ,KHz
-72,68,0,442.4,-0.9331,45
-54,83,0,436.125,-0.9273,46
-32,94,0,431.349,-0.9231,47
-9,99,0,426.095,-0.9155,48
13,99,0,420.094,-0.9093,49
36,93,0,415.15,-0.9021,50
57,81,0,409.946,-0.897,51
75,65,0,406.576,-0.8936,52
88,45,0,401.246,-0.8874,53
97,23,0,399.111,-0.8848,54
99,0,0,392.669,-0.8793,55
97,-23,0,389.665,-0.8745,56
88,-46,0,385.689,-0.87,57
75,-65,0,382.641,-0.8656,58
57,-81,0,378.691,-0.8628,59
36,-92,0,375.472,-0.8562,60
14,-98,0,372.367,-0.8522,61
-9,-99,0,368.854,-0.8461,62
-33,-94,0,365.552,-0.8427,63
-54,-83,0,363.382,-0.8385,64
-72,-68,0,359.68,-0.8371,65
-86,-49,0,356.867,-0.8298,66
-95,-28,0,354.527,-0.8273,67
-99,-4,0,351.298,-0.8245,68
-98,18,0,348.787,-0.8212,69
-90,41,0,346.544,-0.8184,70
-78,62,0,343.589,-0.8182,71
-61,78,0,341.742,-0.8101,72
-40,91,0,339.281,-0.808,73
-18,98,0,337.344,-0.8074,74
5,99,0,334.646,-0.7995,75
28,95,0,332.554,-0.7963,76
50,86,0,330.406,-0.793,77
69,71,0,328.41,-0.7898,78
84,53,0,326.371,-0.7864,79
94,31,0,324.415,-0.7832,80
99,7,0,322.404,-0.7808,81
98,-16,0,320.614,-0.7773,82
92,-39,0,318.663,-0.7742,83
80,-59,0,317.105,-0.772,84
63,-77,0,315.484,-0.7689,85
43,-89,0,313.508,-0.766,86
21,-97,0,311.743,-0.7619,87
-2,-99,0,310.453,-0.761,88
-26,-96,0,308.615,-0.7548,89
-48,-87,0,307.303,-0.7524,90
-67,-73,0,305.493,-0.7502,91
-82,-55,0,303.845,-0.7477,92
-93,-34,0,302.893,-0.7463,93
-99,-11,0,300.916,-0.743,94
-99,12,0,299.433,-0.74,95
-93,35,0,298.768,-0.7376,96
-82,56,0,296.985,-0.7351,97
-66,74,0,295.337,-0.7336,98
-47,88,0,294.362,-0.73,99
-24,96,0,293.072,-0.7293,100
-1,99,0,292.263,-0.7253,101
21,97,0,290.399,-0.7239,102
44,89,0,289.635,-0.7213,103
64,76,0,288.309,-0.7202,104
80,58,0,286.883,-0.7177,105
92,37,0,285.308,-0.714,106
98,14,0,284.608,-0.7111,107
