X,Y,Z,Ω,Θ,KHz
-99,12,0,433.194,-0.1743,66
-93,35,0,432.234,-0.1721,67
-81,57,0,431.676,-0.1703,68
-65,75,0,430.971,-0.1682,69
-45,88,0,429.974,-0.1671,70
-22,97,0,429.16,-0.1652,71
0,99,0,428.51,-0.1637,72
24,97,0,428.081,-0.1613,73
46,88,0,427.418,-0.1603,74
66,74,0,426.678,-0.1584,75
82,56,0,425.929,-0.1558,76
93,34,0,425.441,-0.1546,77
99,11,0,424.859,-0.1531,78
99,-12,0,424.625,-0.1509,79
93,-36,0,423.986,-0.1495,80
81,-57,0,423.356,-0.1481,81
65,-75,0,422.864,-0.1469,82
45,-88,0,422.123,-0.1449,83
23,-97,0,422.233,-0.143,84
0,-99,0,421.26,-0.142,85
-24,-97,0,421.144,-0.1416,86
-46,-88,0,420.6,-0.1398,87
-66,-74,0,420.321,-0.1381,88
-82,-56,0,419.863,-0.1363,89
-93,-35,0,419.302,-0.135,90
-99,-12,0,418.918,-0.1332,91
-99,11,0,418.612,-0.132,92
-93,35,0,418.457,-0.1307,93
-82,56,0,417.997,-0.1306,94
-66,74,0,417.469,-0.1287,95
-46,88,0,417.437,-0.1275,96
-23,97,0,417.024,-0.1265,97
0,99,0,416.766,-0.1247,98
23,97,0,416.231,-0.1242,99
46,88,0,415.934,-0.1225,100
66,74,0,415.921,-0.1217,101
82,56,0,415.626,-0.12,102
93,34,0,415.042,-0.1188,103
99,10,0,415.004,-0.1181,104
99,-13,0,414.886,-0.1169,105
93,-36,0,414.69,-0.1159,106
81,-57,0,414.134,-0.1145,107
65,-75,0,413.979,-0.1137,108
45,-89,0,413.807,-0.1122,109
22,-97,0,413.349,-0.1117,110
-1,-99,0,413.059,-0.1103,111
-24,-96,0,412.916,-0.1096,112
-47,-88,0,412.472,-0.1098,113
-67,-74,0,412.596,-0.1074,114
-82,-56,0,412.325,-0.1063,115
-93,-34,0,412.177,-0.106,116
-99,-11,0,411.816,-0.1051,117
-99,12,0,411.608,-0.1041,118
-93,35,0,411.488,-0.1033,119
-81,57,0,411.584,-0.1019,120
-65,75,0,627.483,-0.1645,10
-56,82,0,618.853,-0.1738,11
-35,93,0,614.102,-0.1878,12
-12,99,0,606.03,-0.196,13
12,99,0,598.257,-0.2051,14
35,93,0,591.407,-0.2095,15
56,82,0,585.304,-0.2183,16
