X,Y,Z,Ω,θ,KHz
-98,-18,0,861.902,-0.1576,10
-99,-7,0,697.583,-0.1714,11
-98,16,0,621.512,-0.1945,12
-91,39,0,601.238,-0.1958,13
-79,60,0,594.434,-0.2081,14
-62,78,0,590.428,-0.2136,15
-41,91,0,577.523,-0.2209,16
-18,98,0,572.691,-0.2237,17
5,99,0,566.761,-0.2281,18
29,95,0,561.956,-0.2362,19
51,85,0,552.618,-0.2435,20
70,70,0,547.457,-0.2393,21
85,51,0,540.766,-0.244,22
95,28,0,534.586,-0.2444,23
99,4,0,529.779,-0.2454,24
98,-19,0,525.043,-0.2478,25
90,-42,0,519.822,-0.2485,26
77,-62,0,514.605,-0.2499,27
60,-79,0,510.692,-0.2495,28
39,-91,0,505.971,-0.2482,29
16,-98,0,502.819,-0.2468,30
-7,-99,0,498.25,-0.247,31
-31,-94,0,494.2,-0.2456,32
-53,-84,0,490.952,-0.2439,33
-72,-69,0,486.98,-0.2429,34
-86,-49,0,484.088,-0.2399,35
-96,-27,0,480.8,-0.2387,36
-99,-3,0,478.065,-0.2371,37
-97,20,0,475.298,-0.2349,38
-90,43,0,472.452,-0.2318,39
-77,63,0,469.69,-0.2308,40
-59,80,0,467.13,-0.2285,41
-38,92,0,464.76,-0.2266,42
-14,98,0,462.346,-0.2241,43
9,99,0,460.644,-0.2221,44
32,94,0,458.696,-0.2192,45
54,83,0,456.116,-0.2171,46
73,67,0,454.874,-0.215,47
87,48,0,452.887,-0.2129,48
96,25,0,451.055,-0.2104,49
99,1,0,449.896,-0.2081,50
97,-22,0,448.051,-0.2053,51
89,-45,0,446.455,-0.2032,52
75,-65,0,444.97,-0.2022,53
57,-81,0,443.867,-0.1998,54
36,-92,0,442.338,-0.1976,55
13,-99,0,441.081,-0.1949,56
-10,-99,0,439.951,-0.193,57
-34,-93,0,438.456,-0.1905,58
-55,-82,0,437.344,-0.1885,59
-74,-67,0,436.574,-0.1864,60
-88,-47,0,435.824,-0.1844,61
-96,-24,0,434.283,-0.1822,62
-99,0,0,433.402,-0.1798,63
-97,23,0,432.337,-0.178,64
-88,45,0,431.717,-0.1761,65
-75,65,0,430.979,-0.174,66
