X,Y,Z,Ω,Θ,KHz
81,57,0,486.53,-0.2389,35
90,41,0,483.043,-0.2379,36
98,18,0,479.862,-0.236,37
99,-5,0,477.538,-0.2334,38
95,-28,0,474.373,-0.2318,39
86,-50,0,471.854,-0.2296,40
71,-70,0,469.232,-0.2278,41
52,-84,0,466.953,-0.2259,42
31,-95,0,464.587,-0.2229,43
7,-99,0,462.352,-0.2207,44
-16,-98,0,460.64,-0.2182,45
-39,-91,0,458.268,-0.2169,46
-60,-79,0,456.179,-0.2141,47
-77,-63,0,454.504,-0.2116,48
-90,-42,0,452.854,-0.2085,49
-97,-20,0,451.785,-0.2077,50
-99,3,0,449.259,-0.2043,51
-96,27,0,448.207,-0.2032,52
-86,49,0,447.041,-0.1998,53
-72,69,0,445.655,-0.1976,54
-53,84,0,443.795,-0.1956,55
-31,94,0,442.991,-0.194,56
-8,99,0,441.4,-0.1914,57
15,98,0,440.151,-0.1899,58
38,92,0,439.318,-0.187,59
59,80,0,438.081,-0.1849,60
77,63,0,437.265,-0.1827,61
90,42,0,436.548,-0.181,62
98,19,0,435.587,-0.1788,63
99,-4,0,434.413,-0.1773,64
95,-28,0,433.905,-0.1756,65
86,-50,0,432.884,-0.1728,66
71,-69,0,431.552,-0.1712,67
53,-84,0,430.937,-0.1687,68
31,-94,0,430.388,-0.1676,69
8,-99,0,429.274,-0.1656,70
-15,-98,0,428.725,-0.1639,71
-39,-91,0,428.072,-0.1617,72
-60,-79,0,427.233,-0.1602,73
-77,-62,0,426.593,-0.1579,74
-90,-42,0,426.109,-0.1568,75
-98,-18,0,425.392,-0.1546,76
-99,5,0,424.89,-0.1528,77
-95,28,0,424.215,-0.1513,78
-85,51,0,423.731,-0.1498,79
-71,70,0,423.176,-0.1485,80
-51,85,0,422.667,-0.1466,81
-29,95,0,422.192,-0.1454,82
-5,99,0,421.547,-0.144,83
18,98,0,421.371,-0.1428,84
41,91,0,420.994,-0.1412,85
62,78,0,420.292,-0.1395,86
79,60,0,419.848,-0.1379,87
91,39,0,419.527,-0.1364,88
98,16,0,419.258,-0.1354,89
99,-7,0,418.752,-0.1337,90
94,-31,0,417.964,-0.1323,91
84,-53,0,417.849,-0.1313,92
69,-72,0,417.445,-0.13,93
50,-86,0,417.211,-0.1287,94
28,-95,0,416.613,-0.1261,95
4,-99,0,416.536,-0.1258,96
-19,-97,0,416.037,-0.1248,97
-42,-90,0,416.149,-0.123,98
-63,-77,0,415.693,-0.1228,99
-80,-59,0,415.596,-0.1213,100
-92,-38,0,415.26,-0.1201,101
-98,-15,0,414.715,-0.119,102
-99,8,0,414.82,-0.1171,103
-94,31,0,414.276,-0.1165,104
-84,53,0,413.767,-0.1157,105
-68,72,0,413.37,-0.1144,106
-49,87,0,414.012,-0.1138,107
-26,96,0,413.185,-0.1121,108
-2,99,0,413.013,-0.1117,109
21,97,0,412.772,-0.1101,110
43,89,0,412.887,-0.1088,111
