X,Y,Z,Ω,Θ,KHz
64,76,0,412.19,-0.1067,112
81,58,0,412.432,-0.1073,113
92,37,0,411.962,-0.1063,114
99,13,0,411.82,-0.1048,115
99,-10,0,411.462,-0.1041,116
93,-34,0,411.38,-0.1032,117
82,-55,0,411.252,-0.1023,118
67,-74,0,410.969,-0.1014,119
47,-87,0,410.772,-0.1009,120
25,-96,0,486.508,-0.2386,35
6,-99,0,483.58,-0.2377,36
-17,-98,0,480.122,-0.2363,37
-40,-91,0,477.097,-0.2334,38
-61,-78,0,474.475,-0.2317,39
-78,-62,0,471.552,-0.2298,40
-90,-41,0,469.273,-0.2273,41
-98,-18,0,466.825,-0.2257,42
-99,5,0,464.683,-0.2228,43
-95,29,0,462.323,-0.2212,44
-85,51,0,460.546,-0.2183,45
-71,70,0,458.049,-0.2169,46
-51,85,0,456.576,-0.2152,47
-29,95,0,454.557,-0.2113,48
-6,99,0,452.829,-0.2095,49
17,98,0,451.589,-0.2067,50
40,91,0,449.62,-0.206,51
61,78,0,448.251,-0.203,52
78,61,0,446.705,-0.2006,53
91,40,0,445.363,-0.1977,54
98,17,0,444.316,-0.1942,55
99,-6,0,442.901,-0.1936,56
95,-30,0,441.71,-0.1922,57
85,-52,0,440.324,-0.1889,58
70,-71,0,438.931,-0.1875,59
51,-85,0,438.249,-0.1859,60
29,-95,0,436.864,-0.1835,61
5,-99,0,436.396,-0.1805,62
-18,-98,0,435.2,-0.1796,63
-41,-91,0,434.237,-0.1771,64
-61,-78,0,433.178,-0.1751,65
-78,-61,0,432.234,-0.1732,66
-91,-40,0,431.538,-0.1714,67
-98,-17,0,431.092,-0.1695,68
-99,6,0,430.321,-0.1677,69
-95,30,0,429.274,-0.1656,70
-85,52,0,428.595,-0.1641,71
-70,71,0,427.843,-0.1608,72
-51,86,0,427.414,-0.1604,73
-28,95,0,426.775,-0.1581,74
-5,99,0,426.048,-0.1566,75
18,98,0,425.517,-0.1551,76
41,90,0,424.894,-0.1531,77
62,78,0,424.163,-0.1517,78
79,60,0,423.682,-0.1502,79
91,39,0,423.056,-0.1485,80
98,16,0,422.633,-0.1473,81
99,-7,0,422.073,-0.1455,82
94,-31,0,421.599,-0.1438,83
84,-53,0,421.34,-0.1422,84
68,-72,0,420.81,-0.1411,85
49,-86,0,420.409,-0.1395,86
27,-96,0,419.896,-0.1378,87
3,-99,0,419.363,-0.1366,88
-20,-97,0,419.119,-0.1351,89
-43,-89,0,418.682,-0.1336,90
-63,-76,0,418.502,-0.1329,91
-80,-59,0,417.921,-0.1314,92
-92,-38,0,417.528,-0.1296,93
-98,-15,0,417.355,-0.1289,94
-99,8,0,416.849,-0.1276,95
-94,32,0,416.536,-0.1258,96
-83,54,0,416.11,-0.1248,97
-68,73,0,416.039,-0.1235,98
-48,87,0,415.655,-0.1226,99
-25,96,0,415.487,-0.1214,100
-2,99,0,415.21,-0.1194,101
21,97,0,414.747,-0.1188,102
44,89,0,414.802,-0.1177,103
64,76,0,414.185,-0.1171,104
81,58,0,413.702,-0.115,105
92,37,0,413.552,-0.1144,106
99,13,0,413.595,-0.1143,107
99,-10,0,413.185,-0.1121,108
94,-34,0,412.883,-0.1113,109
83,-55,0,412.826,-0.1104,110
67,-73,0,412.796,-0.1096,111
47,-87,0,412.331,-0.1084,112
25,-96,0,412.295,-0.107,113
1,-99,0,411.903,-0.1061,114
-22,-97,0,411.626,-0.1051,115
-44,-89,0,411.524,-0.1043,116
-65,-75,0,411.395,-0.104,117
-81,-58,0,411.009,-0.1012,118
-92,-37,0,411.035,-0.1016,119
-99,-13,0,410.958,-0.1005,120
-99,10,0,486.596,-0.2384,35
-95,28,0,483.472,-0.2377,36
-86,50,0,480.179,-0.2358,37
-71,69,0,477.46,-0.2337,38
-53,84,0,474.217,-0.2314,39
-30,95,0,471.927,-0.2293,40
-7,99,0,469.203,-0.2276,41
16,98,0,466.862,-0.2252,42
39,91,0,464.425,-0.2232,43
60,79,0,462.162,-0.2208,44
78,62,0,460.648,-0.2189,45
90,41,0,458.858,-0.2167,46
98,18,0,456.687,-0.2146,47
99,-5,0,454.594,-0.2115,48
95,-29,0,452.93,-0.2089,49
85,-51,0,451.308,-0.208,50
70,-70,0,449.494,-0.2059,51
51,-85,0,448.254,-0.2025,52
30,-95,0,447.294,-0.2009,53
6,-99,0,445.496,-0.1987,54
-17,-98,0,444.148,-0.1971,55
-40,-91,0,442.569,-0.1936,56
-61,-79,0,441.915,-0.1921,57
