X,Y,Z,Ω,θ,KHz
97,21,0,545.965,-0.2459,22
99,-2,0,539.81,-0.2455,23
96,-26,0,536.631,-0.2496,24
87,-48,0,530.487,-0.249,25
73,-68,0,525.592,-0.2497,26
54,-83,0,520.742,-0.249,27
33,-94,0,515.764,-0.2507,28
10,-99,0,511.251,-0.2501,29
-14,-98,0,507.457,-0.2489,30
-37,-92,0,503.421,-0.2467,31
-58,-81,0,499.356,-0.2455,32
-76,-64,0,495.545,-0.2446,33
-89,-44,0,491.65,-0.244,34
-97,-22,0,488.745,-0.2413,35
-99,1,0,485.552,-0.2401,36
-96,25,0,482.274,-0.2377,37
-87,47,0,479.238,-0.2362,38
-73,67,0,476.567,-0.2344,39
