X,Y,Z,Ω,θ,KHz
-4,99,0,629.812,-0.1669,10
7,99,0,624.053,-0.1724,11
30,95,0,616.328,-0.1866,12
52,85,0,607.062,-0.2012,13
71,69,0,601.282,-0.2078,14
86,50,0,595.535,-0.2124,15
95,28,0,587.981,-0.2168,16
99,5,0,578.917,-0.2266,17
98,-18,0,570.529,-0.2321,18
90,-41,0,565.194,-0.2357,19
78,-62,0,561.115,-0.2393,20
61,-78,0,553.202,-0.2444,21
41,-91,0,546.666,-0.2479,22
18,-98,0,540.983,-0.2446,23
-5,-99,0,536.828,-0.2472,24
-29,-95,0,530.344,-0.2486,25
-50,-86,0,524.854,-0.25,26
-69,-71,0,520.815,-0.2506,27
-84,-52,0,515.908,-0.2511,28
-94,-31,0,510.82,-0.2488,29
-99,-7,0,507.543,-0.2484,30
-98,16,0,503.484,-0.2476,31
-92,38,0,499.52,-0.2462,32
-80,59,0,495.162,-0.2454,33
-63,77,0,491.523,-0.2438,34
-43,90,0,488.745,-0.2413,35
-20,97,0,485.403,-0.2398,36
3,99,0,482.376,-0.2377,37
26,96,0,479.717,-0.2367,38
49,87,0,476.641,-0.2341,39
68,72,0,474.04,-0.2322,40
84,54,0,471.359,-0.2299,41
94,32,0,468.813,-0.2281,42
99,8,0,466.941,-0.2257,43
98,-15,0,464.306,-0.2235,44
92,-38,0,462.628,-0.2214,45
80,-59,0,460.48,-0.2191,46
64,-76,0,459.014,-0.2165,47
44,-89,0,457.006,-0.2138,48
21,-97,0,454.947,-0.2117,49
-2,-99,0,452.98,-0.2102,50
-25,-96,0,451.663,-0.207,51
-47,-87,0,450.003,-0.205,52
-67,-73,0,448.908,-0.203,53
-82,-55,0,447.19,-0.1999,54
-93,-34,0,446.101,-0.1976,55
-99,-11,0,444.715,-0.1965,56
-99,12,0,443.557,-0.1944,57
-93,35,0,442.498,-0.1917,58
-82,56,0,441.027,-0.1896,59
-66,74,0,439.931,-0.1871,60
-46,88,0,438.808,-0.1848,61
-23,97,0,437.848,-0.1838,62
0,99,0,437.386,-0.1811,63
23,97,0,436.068,-0.1793,64
45,88,0,435.196,-0.1769,65
65,75,0,434.585,-0.1754,66
81,57,0,433.479,-0.1737,67
93,36,0,432.696,-0.1715,68
99,12,0,431.914,-0.1701,69
99,-11,0,430.973,-0.1678,70
93,-34,0,430.561,-0.1661,71
82,-55,0,429.591,-0.1642,72
67,-73,0,428.872,-0.1627,73
47,-87,0,428.508,-0.1608,74
26,-96,0,427.608,-0.1586,75
2,-99,0,427.183,-0.1574,76
-21,-97,0,426.498,-0.1555,77
-44,-89,0,425.939,-0.1542,78
-64,-76,0,425.456,-0.1525,79
-80,-59,0,424.783,-0.1506,80
-92,-38,0,424.224,-0.1494,81
-98,-15,0,423.812,-0.1476,82
-99,8,0,423.386,-0.1459,83
-94,31,0,422.913,-0.1446,84
-84,53,0,422.406,-0.1431,85
-69,72,0,422.098,-0.1424,86
-49,86,0,421.766,-0.1404,87
-27,96,0,421.218,-0.1388,88
-4,99,0,420.525,-0.137,89
19,98,0,420.545,-0.1358,90
43,90,0,419.966,-0.1349,91
63,76,0,419.675,-0.1333,92
80,59,0,419.163,-0.1323,93
92,37,0,419.175,-0.1311,94
99,13,0,418.521,-0.1296,95
99,-10,0,418.231,-0.1283,96
94,-34,0,417.858,-0.1268,97
82,-55,0,417.848,-0.1257,98
67,-74,0,417.327,-0.124,99
47,-87,0,416.946,-0.1228,100
25,-96,0,416.849,-0.1222,101
1,-99,0,416.481,-0.1213,102
-23,-97,0,416.216,-0.1204,103
-45,-88,0,415.947,-0.1191,104
-65,-75,0,415.49,-0.1175,105
-81,-57,0,415.324,-0.1157,106
-93,-35,0,414.998,-0.1165,107
-99,-12,0,414.982,-0.1151,108
-99,11,0,414.714,-0.1134,109
-93,35,0,414.386,-0.1126,110
-82,56,0,414.427,-0.1112,111
-65,75,0,413.992,-0.1105,112
-45,88,0,413.274,-0.1094,113
-22,97,0,413.702,-0.1088,114
1,99,0,413.346,-0.1076,115
24,96,0,413.257,-0.1063,116
47,88,0,412.929,-0.1052,117
67,73,0,412.88,-0.1049,118
83,55,0,412.403,-0.1038,119
94,33,0,412.454,-0.1025,120
99,9,0,629.812,-0.1669,10
99,-1,0,624.264,-0.1772,11
96,-25,0,617.207,-0.1917,12
87,-48,0,609.372,-0.1964,13
73,-67,0,600.38,-0.2045,14
54,-83,0,595.145,-0.2158,15
33,-94,0,588.225,-0.2213,16
9,-99,0,580.604,-0.2254,17
-14,-98,0,572.592,-0.2329,18
-37,-92,0,566.061,-0.236,19
-58,-80,0,559.132,-0.2416,20
-76,-64,0,553.315,-0.2414,21
-89,-44,0,546.09,-0.2452,22
-97,-21,0,542.059,-0.2453,23
-99,2,0,536.593,-0.2482,24
-96,26,0,530.098,-0.2488,25
-87,49,0,525.37,-0.2504,26
-72,68,0,519.856,-0.2484,27
-53,84,0,515.214,-0.2494,28
-31,94,0,511.369,-0.2501,29
-7,99,0,506.663,-0.2494,30
16,98,0,502.998,-0.2473,31
39,91,0,498.85,-0.2464,32
60,79,0,495.143,-0.2452,33
78,62,0,492.17,-0.2436,34
91,41,0,487.939,-0.2421,35
98,18,0,485.194,-0.2399,36
99,-5,0,482.526,-0.238,37
95,-29,0,479.717,-0.2367,38
85,-51,0,476.692,-0.2346,39
70,-70,0,474.067,-0.2324,40
51,-85,0,471.359,-0.2299,41
29,-95,0,469.033,-0.2282,42
6,-99,0,467.002,-0.2261,43
-18,-98,0,464.709,-0.2234,44
-41,-91,0,462.687,-0.2211,45
-61,-78,0,460.39,-0.2192,46
-78,-61,0,458.905,-0.217,47
-91,-40,0,456.886,-0.2148,48
-98,-17,0,455.108,-0.212,49
-99,6,0,453.482,-0.2102,50
-95,30,0,451.832,-0.2068,51
-85,52,0,450.212,-0.2045,52
-70,71,0,448.704,-0.2016,53
-50,86,0,447.026,-0.1996,54
-28,95,0,446.309,-0.198,55
-4,99,0,444.838,-0.1965,56
19,98,0,443.468,-0.194,57
42,90,0,442.543,-0.1919,58
63,77,0,441.282,-0.189,59
80,59,0,440.053,-0.1872,60
92,38,0,439.196,-0.1854,61
98,15,0,437.918,-0.183,62
99,-8,0,437.286,-0.1808,63
94,-32,0,436.087,-0.1791,64
84,-54,0,435.196,-0.1769,65
68,-72,0,434.48,-0.1751,66
49,-86,0,433.292,-0.1738,67
27,-96,0,432.456,-0.1714,68
3,-99,0,432.0,-0.1694,69
-20,-97,0,431.157,-0.1677,70
-43,-89,0,430.378,-0.1662,71
-63,-76,0,429.881,-0.1646,72
-80,-59,0,429.11,-0.1627,73
-92,-38,0,428.506,-0.1611,74
-98,-15,0,427.844,-0.1588,75
-99,9,0,427.241,-0.1572,76
-94,32,0,426.562,-0.1559,77
-83,54,0,425.817,-0.1539,78
-67,73,0,425.401,-0.1527,79
-47,87,0,425.079,-0.1507,80
-25,96,0,424.237,-0.1482,81
-1,99,0,423.94,-0.1478,82
22,97,0,423.271,-0.146,83
45,88,0,423.043,-0.1448,84
65,75,0,422.455,-0.143,85
82,56,0,422.489,-0.1422,86
93,35,0,421.567,-0.14,87
99,11,0,421.243,-0.1384,88
99,-12,0,420.796,-0.1374,89
93,-36,0,420.453,-0.1354,90
81,-57,0,420.009,-0.1347,91
65,-75,0,419.591,-0.1336,92
45,-89,0,419.135,-0.132,93
22,-97,0,418.925,-0.1309,94
-1,-99,0,418.663,-0.1298,95
-25,-96,0,418.411,-0.1283,96
-47,-87,0,417.897,-0.1262,97
-67,-73,0,417.488,-0.1248,98
-82,-55,0,417.258,-0.1244,99
-93,-34,0,416.85,-0.1238,100
-99,-10,0,416.532,-0.1225,101
-99,13,0,416.481,-0.1213,102
-92,36,0,416.277,-0.1201,103
-81,58,0,415.784,-0.1186,104
-64,76,0,415.461,-0.1177,105
-44,89,0,415.324,-0.1157,106
-21,97,0,415.029,-0.1157,107
2,99,0,414.832,-0.1144,108
26,96,0,414.79,-0.1134,109
48,87,0,414.486,-0.1124,110
68,72,0,413.948,-0.111,111
84,54,0,413.992,-0.1105,112
94,32,0,413.729,-0.1105,113
99,8,0,413.663,-0.1084,114
98,-15,0,413.536,-0.1073,115
92,-39,0,413.317,-0.1065,116
79,-60,0,412.975,-0.1056,117
63,-77,0,412.77,-0.1043,118
43,-90,0,412.599,-0.1033,119
20,-97,0,412.351,-0.1029,120
-4,-99,0,630.359,-0.1666,10
-15,-98,0,624.324,-0.1752,11
-38,-92,0,616.057,-0.1899,12
-59,-80,0,608.534,-0.1964,13
-77,-63,0,600.512,-0.2059,14
-90,-43,0,591.52,-0.214,15
-97,-20,0,588.511,-0.2229,16
-99,3,0,579.08,-0.2256,17
-96,27,0,572.314,-0.2303,18
-86,49,0,565.628,-0.2352,19
-72,69,0,559.405,-0.238,20
-53,84,0,554.016,-0.2421,21
-30,95,0,545.941,-0.2442,22
-7,99,0,542.054,-0.2451,23
16,98,0,535.863,-0.2502,24
39,91,0,530.495,-0.2493,25
60,79,0,525.458,-0.2494,26
78,62,0,520.672,-0.2502,27
90,41,0,515.489,-0.25,28
98,18,0,511.277,-0.2505,29
99,-5,0,506.792,-0.2477,30
95,-29,0,503.5,-0.2479,31
85,-51,0,498.962,-0.2463,32
70,-70,0,495.49,-0.2453,33
52,-85,0,491.543,-0.2441,34
30,-95,0,488.468,-0.2419,35
7,-99,0,485.298,-0.2398,36
-17,-98,0,482.479,-0.2376,37
-40,-91,0,479.895,-0.2364,38
-60,-79,0,476.766,-0.2343,39
-78,-62,0,474.067,-0.2324,40
-90,-42,0,471.359,-0.2299,41
-98,-19,0,469.033,-0.2282,42
-99,4,0,466.78,-0.2267,43
-95,28,0,464.492,-0.2234,44
-86,50,0,462.497,-0.2206,45
-71,69,0,460.39,-0.2192,46
-52,85,0,458.499,-0.2164,47
-30,95,0,457.113,-0.2143,48
-6,99,0,455.281,-0.2118,49
16,98,0,453.662,-0.2096,50
40,91,0,452.156,-0.2074,51
60,79,0,450.169,-0.2048,52
78,62,0,448.99,-0.2038,53
91,41,0,447.438,-0.2005,54
98,18,0,445.905,-0.1981,55
99,-6,0,444.89,-0.1951,56
95,-29,0,443.667,-0.194,57
85,-51,0,442.481,-0.1924,58
70,-70,0,441.074,-0.1897,59
51,-85,0,440.073,-0.1876,60
30,-95,0,439.122,-0.1855,61
6,-99,0,438.427,-0.1829,62
-17,-98,0,437.243,-0.1813,63
-40,-91,0,436.278,-0.179,64
-61,-78,0,435.489,-0.1772,65
-78,-62,0,434.328,-0.1756,66
-91,-41,0,433.642,-0.1729,67
-98,-17,0,432.576,-0.1715,68
-99,6,0,431.75,-0.1697,69
-95,30,0,431.046,-0.1674,70
-85,52,0,430.455,-0.1655,71
-69,71,0,429.778,-0.1638,72
-50,86,0,429.174,-0.1623,73
-27,96,0,428.218,-0.1599,74
-4,99,0,427.726,-0.1588,75
19,98,0,427.007,-0.1575,76
42,90,0,426.615,-0.1554,77
63,77,0,426.169,-0.1539,78
80,59,0,425.381,-0.1519,79
92,38,0,424.962,-0.1507,80
98,15,0,424.34,-0.1494,81
99,-9,0,423.94,-0.1478,82
94,-32,0,423.246,-0.1466,83
83,-54,0,422.964,-0.1444,84
68,-73,0,422.455,-0.143,85
48,-87,0,422.381,-0.1405,86
26,-96,0,421.52,-0.1402,87
2,-99,0,421.197,-0.1386,88
-21,-97,0,421.044,-0.1376,89
-44,-89,0,420.325,-0.1366,90
-64,-76,0,419.718,-0.1347,91
-80,-58,0,419.606,-0.1332,92
-92,-37,0,419.204,-0.1321,93
-98,-14,0,419.195,-0.1302,94
-99,9,0,418.733,-0.1299,95
-94,33,0,418.278,-0.1273,96
-83,55,0,417.929,-0.1269,97
-67,73,0,417.597,-0.126,98
-47,87,0,417.223,-0.1246,99
-25,96,0,417.102,-0.1239,100
-1,99,0,416.491,-0.1222,101
22,97,0,416.586,-0.1212,102
45,89,0,416.099,-0.1201,103
65,75,0,416.065,-0.1184,104
81,57,0,415.581,-0.118,105
93,35,0,415.595,-0.1162,106
99,12,0,415.029,-0.1157,107
99,-12,0,414.832,-0.115,108
93,-35,0,414.739,-0.1132,109
82,-57,0,414.433,-0.1122,110
66,-75,0,414.23,-0.1114,111
46,-88,0,413.992,-0.1105,112
23,-97,0,413.87,-0.1092,113
0,-99,0,413.414,-0.1085,114
-24,-96,0,413.4,-0.107,115
-46,-88,0,413.162,-0.1065,116
-66,-74,0,413.084,-0.1053,117
-82,-56,0,412.895,-0.1047,118
-93,-34,0,412.65,-0.1037,119
-99,-10,0,412.597,-0.1028,120
-99,13,0,629.991,-0.1669,10
-96,24,0,625.454,-0.1728,11
-88,46,0,615.495,-0.1857,12
-74,66,0,607.132,-0.1988,13
-56,82,0,600.198,-0.2053,14
-34,94,0,595.561,-0.211,15
-10,99,0,585.963,-0.2162,16
13,99,0,579.517,-0.2272,17
36,93,0,572.605,-0.2311,18
58,81,0,565.183,-0.2393,19
76,64,0,559.558,-0.2421,20
89,44,0,553.76,-0.2449,21
