X,Y,Z,Ω,θ,KHz
90,41,0,432.732,-0.171,67
98,18,0,431.622,-0.1693,68
99,-5,0,431.034,-0.1673,69
95,-29,0,430.298,-0.1655,70
85,-51,0,429.515,-0.1639,71
71,-70,0,428.955,-0.1618,72
52,-85,0,428.265,-0.1603,73
30,-95,0,427.65,-0.1589,74
6,-99,0,427.0,-0.1575,75
-17,-98,0,426.216,-0.1551,76
-40,-91,0,425.838,-0.1534,77
-60,-79,0,424.999,-0.1519,78
-77,-62,0,424.621,-0.1505,79
-90,-42,0,424.186,-0.1491,80
-98,-19,0,423.723,-0.1468,81
-99,4,0,423.13,-0.1462,82
-96,27,0,422.747,-0.1442,83
-86,50,0,422.447,-0.1426,84
-72,69,0,421.835,-0.1417,85
-53,84,0,421.562,-0.1409,86
-31,94,0,420.928,-0.1388,87
-8,99,0,420.511,-0.1374,88
15,98,0,420.021,-0.1361,89
38,92,0,419.641,-0.1349,90
59,80,0,419.428,-0.1335,91
77,63,0,419.076,-0.1318,92
90,43,0,418.718,-0.1304,93
97,20,0,418.378,-0.129,94
99,-3,0,417.986,-0.1276,95
96,-27,0,417.57,-0.1272,96
86,-49,0,417.059,-0.1257,97
72,-69,0,416.882,-0.1249,98
53,-84,0,416.832,-0.1232,99
32,-94,0,416.462,-0.122,100
9,-99,0,416.273,-0.1211,101
-14,-98,0,415.653,-0.1198,102
-37,-92,0,415.65,-0.1186,103
-58,-80,0,415.309,-0.1181,104
-76,-64,0,414.88,-0.1164,105
-89,-44,0,414.8,-0.1154,106
-97,-22,0,414.578,-0.114,107
-99,1,0,414.418,-0.1133,108
-96,25,0,414.17,-0.1123,109
-87,47,0,413.832,-0.1116,110
-73,67,0,413.777,-0.1102,111
-55,83,0,413.445,-0.1085,112
-34,93,0,413.009,-0.1093,113
-10,99,0,412.961,-0.107,114
12,99,0,412.57,-0.1066,115
35,93,0,412.42,-0.1055,116
57,81,0,412.261,-0.1048,117
75,65,0,412.386,-0.1038,118
88,45,0,411.948,-0.1027,119
97,23,0,411.802,-0.1017,120
99,-1,0,626.4,-0.1651,10
99,-12,0,619.916,-0.1746,11
93,-36,0,614.572,-0.1852,12
81,-57,0,606.742,-0.1943,13
65,-75,0,597.567,-0.2041,14
45,-89,0,587.742,-0.2149,15
23,-97,0,581.893,-0.2219,16
-1,-99,0,576.472,-0.2242,17
-24,-96,0,569.069,-0.2294,18
-47,-88,0,562.991,-0.235,19
-66,-74,0,556.702,-0.2398,20
-82,-56,0,551.159,-0.2398,21
-93,-34,0,545.55,-0.2442,22
-99,-11,0,537.943,-0.2468,23
-99,12,0,532.586,-0.2463,24
-93,36,0,527.883,-0.2468,25
-81,57,0,523.029,-0.2474,26
-65,75,0,518.064,-0.248,27
-45,89,0,513.285,-0.2474,28
-22,97,0,509.514,-0.2459,29
1,99,0,504.995,-0.2438,30
24,96,0,501.02,-0.2446,31
47,88,0,497.514,-0.2444,32
67,73,0,493.424,-0.2424,33
83,55,0,489.988,-0.2416,34
94,33,0,486.702,-0.2392,35
99,10,0,483.805,-0.238,36
99,-14,0,480.525,-0.2347,37
92,-37,0,478.105,-0.2337,38
81,-58,0,474.96,-0.2319,39
64,-76,0,472.293,-0.2289,40
44,-89,0,469.894,-0.2274,41
22,-97,0,467.779,-0.2251,42
-1,-99,0,465.792,-0.2219,43
-25,-96,0,462.779,-0.2203,44
-47,-87,0,460.776,-0.2181,45
-67,-73,0,459.299,-0.2157,46
-83,-55,0,457.115,-0.2141,47
-94,-33,0,455.493,-0.2118,48
-99,-10,0,453.753,-0.2088,49
-99,13,0,452.249,-0.2066,50
-92,36,0,450.845,-0.204,51
-81,58,0,449.033,-0.2027,52
-64,76,0,447.439,-0.201,53
-44,89,0,446.284,-0.1995,54
-21,97,0,444.946,-0.1955,55
2,99,0,443.662,-0.1929,56
25,96,0,442.584,-0.1918,57
48,87,0,441.647,-0.1895,58
68,73,0,440.077,-0.1871,59
83,54,0,438.907,-0.185,60
94,32,0,438.239,-0.1831,61
99,8,0,437.027,-0.1815,62
98,-15,0,436.115,-0.1788,63
92,-38,0,435.165,-0.1772,64
80,-59,0,434.153,-0.1754,65
63,-77,0,433.416,-0.1737,66
43,-89,0,432.471,-0.1712,67
20,-97,0,431.678,-0.1694,68
-3,-99,0,431.204,-0.1677,69
-27,-96,0,430.355,-0.1657,70
-49,-87,0,429.702,-0.1638,71
-68,-72,0,429.018,-0.1617,72
-83,-54,0,428.387,-0.1603,73
-94,-32,0,427.345,-0.1587,74
-99,-9,0,426.877,-0.1569,75
-98,15,0,426.335,-0.1548,76
-92,38,0,425.721,-0.1537,77
-80,59,0,425.062,-0.1521,78
-63,76,0,424.677,-0.1504,79
-43,90,0,424.177,-0.1489,80
-20,97,0,423.506,-0.1474,81
3,99,0,423.159,-0.1455,82
26,96,0,422.576,-0.1444,83
49,87,0,422.498,-0.1425,84
68,72,0,421.835,-0.1417,85
84,53,0,421.445,-0.1409,86
94,32,0,420.976,-0.1386,87
99,8,0,420.605,-0.1371,88
98,-15,0,420.159,-0.1356,89
92,-38,0,419.731,-0.1346,90
80,-59,0,419.286,-0.1333,91
63,-77,0,419.004,-0.1317,92
43,-90,0,418.741,-0.1295,93
20,-97,0,418.305,-0.1289,94
-3,-99,0,418.012,-0.1283,95
-27,-96,0,417.72,-0.1269,96
-49,-86,0,417.245,-0.1253,97
-68,-72,0,416.698,-0.1249,98
-84,-54,0,416.875,-0.1239,99
-94,-32,0,416.578,-0.1224,100
-99,-9,0,416.014,-0.1211,101
-98,14,0,415.826,-0.1193,102
-92,38,0,415.466,-0.1186,103
-80,59,0,415.399,-0.1175,104
-63,76,0,414.88,-0.1164,105
-43,89,0,414.849,-0.1156,106
-20,97,0,414.864,-0.1138,107
3,99,0,414.133,-0.1134,108
26,96,0,414.145,-0.1125,109
49,86,0,413.769,-0.1108,110
69,72,0,413.721,-0.1099,111
84,53,0,413.496,-0.1095,112
94,31,0,412.968,-0.1097,113
99,7,0,412.885,-0.1077,114
98,-16,0,412.642,-0.1059,115
91,-39,0,412.625,-0.106,116
79,-60,0,412.277,-0.1046,117
63,-77,0,412.401,-0.1036,118
42,-90,0,411.868,-0.1027,119
20,-97,0,411.882,-0.1017,120
-3,-99,0,626.409,-0.1648,10
-15,-98,0,619.248,-0.1728,11
-38,-92,0,612.988,-0.1851,12
-59,-80,0,603.768,-0.1967,13
-76,-64,0,597.436,-0.2024,14
-89,-43,0,588.52,-0.2075,15
-97,-21,0,584.531,-0.2155,16
-99,2,0,575.533,-0.225,17
-96,26,0,569.678,-0.2288,18
-87,48,0,562.105,-0.2339,19
-73,68,0,556.694,-0.2377,20
-54,83,0,551.459,-0.2414,21
-32,94,0,545.374,-0.2419,22
-9,99,0,537.782,-0.2455,23
14,98,0,532.683,-0.2451,24
37,92,0,528.004,-0.2466,25
58,80,0,522.901,-0.2475,26
76,64,0,518.042,-0.2475,27
89,43,0,512.989,-0.2465,28
97,21,0,508.981,-0.2472,29
99,-3,0,504.718,-0.245,30
96,-26,0,500.606,-0.2455,31
87,-49,0,497.057,-0.2445,32
72,-68,0,493.517,-0.2422,33
54,-83,0,489.967,-0.2414,34
33,-94,0,486.724,-0.2394,35
9,-99,0,484.08,-0.2374,36
