Starting...

2000.00,0,3440513.50,-1.59,353.05
3000.00,1,3447629.75,-1.57,353.78
4000.00,2,3446768.75,-1.55,352.97
5000.00,3,3446691.25,-1.53,352.96
6000.00,4,3448934.50,-1.52,353.25
7000.00,5,3450004.25,-1.50,353.05
8000.00,6,3446619.50,-1.49,352.88
9000.00,7,3447485.25,-1.48,353.19
10000.00,8,3446994.75,-1.46,352.96
11000.00,9,3449132.00,-1.45,353.24
12000.00,10,3444876.25,-1.44,352.67
13000.00,11,3445323.50,-1.42,353.01
14000.00,12,3446649.00,-1.41,353.11
15000.00,13,3448114.75,-1.40,353.24
16000.00,14,3443071.00,-1.38,352.50
17000.00,15,3445498.25,-1.37,353.36
18000.00,16,3444429.25,-1.36,353.17
19000.00,17,3446461.00,-1.35,353.39
20000.00,18,3442083.75,-1.33,352.69
21000.00,19,3442970.25,-1.32,353.26
22000.00,20,3443628.75,-1.31,353.06
23000.00,21,3443263.25,-1.30,353.04
24000.00,22,3441914.75,-1.28,352.60
25000.00,23,3443246.75,-1.27,353.09
26000.00,24,3442882.00,-1.26,353.15
27000.00,25,3443081.25,-1.25,353.27
28000.00,26,3440590.00,-1.23,352.77
29000.00,27,3441887.25,-1.22,353.28
30000.00,28,3441733.00,-1.21,353.19
31000.00,29,3440406.50,-1.20,352.86
32000.00,30,3438517.75,-1.19,352.85
33000.00,31,3439337.00,-1.17,353.17
34000.00,32,3438538.75,-1.16,353.03
35000.00,33,3438436.75,-1.15,352.96
36000.00,34,3438024.25,-1.14,353.16
37000.00,35,3436634.50,-1.12,352.84
38000.00,36,3437127.25,-1.11,352.72
39000.00,37,3437085.50,-1.10,353.05
40000.00,38,3436950.75,-1.09,353.11
41000.00,39,3435552.50,-1.08,353.12
42000.00,40,3434808.00,-1.06,352.98
43000.00,41,3434802.00,-1.05,353.13
44000.00,42,3435509.00,-1.04,353.17
45000.00,43,3434147.00,-1.03,353.14
46000.00,44,3433187.75,-1.01,353.01
47000.00,45,3432898.00,-1.00,353.05
48000.00,46,3431966.00,-0.99,352.84
49000.00,47,3431385.75,-0.98,352.94
50000.00,48,3430997.75,-0.97,353.03
51000.00,49,3430801.25,-0.95,353.08
52000.00,50,3429818.75,-0.94,353.07
53000.00,51,3429437.50,-0.93,352.96
54000.00,52,3428767.50,-0.92,353.19
55000.00,53,3428605.50,-0.91,353.27
56000.00,54,3428113.00,-0.89,353.00
57000.00,55,3425793.25,-0.88,352.86
58000.00,56,3424634.25,-0.87,352.95
59000.00,57,3427007.75,-0.86,353.49
60000.00,58,3424154.50,-0.84,352.91
61000.00,59,3422881.75,-0.83,352.93
62000.00,60,3422893.75,-0.82,352.99
63000.00,61,3423409.50,-0.81,353.18
64000.00,62,3421676.25,-0.80,353.08
65000.00,63,3419128.25,-0.78,352.57
66000.00,64,3420024.75,-0.77,353.19
67000.00,65,3420519.75,-0.76,353.08
68000.00,66,3420618.25,-0.75,353.33
69000.00,67,3418283.75,-0.73,352.87
70000.00,68,3418196.25,-0.72,353.00
71000.00,69,3417371.25,-0.71,353.06
72000.00,70,3416467.75,-0.70,352.95
73000.00,71,3415516.75,-0.69,353.19
74000.00,72,3415388.75,-0.67,353.20
75000.00,73,3414861.00,-0.66,353.12
76000.00,74,3412987.00,-0.65,352.86
77000.00,75,3411936.00,-0.64,352.93
78000.00,76,3411265.75,-0.62,352.94
79000.00,77,3410744.50,-0.61,353.01
80000.00,78,3409661.50,-0.60,352.92
81000.00,79,3408636.50,-0.59,353.04
82000.00,80,3407068.50,-0.58,352.95
83000.00,81,3406652.00,-0.56,352.97
84000.00,82,3406282.50,-0.55,352.95
85000.00,83,3405371.00,-0.54,352.93
86000.00,84,3404208.50,-0.53,352.44
87000.00,85,3402738.00,-0.52,352.85
88000.00,86,3402484.25,-0.50,353.11
89000.00,87,3401654.75,-0.49,352.98
90000.00,88,3400032.25,-0.48,352.86
91000.00,89,3398519.25,-0.47,353.04
92000.00,90,3399505.50,-0.45,353.00
93000.00,91,3400224.00,-0.44,353.13
94000.00,92,3396071.25,-0.43,352.84
95000.00,93,3395124.75,-0.42,353.05
96000.00,94,3395901.25,-0.41,353.34
97000.00,95,3395764.75,-0.39,353.26
98000.00,96,3388739.25,-0.38,352.36
99000.00,97,3389302.50,-0.37,353.06
100000.00,98,3389919.00,-0.36,353.02
AD5258 of index 1 is online.
AD5258 of index 2 is online.
