X,Y,Z,Ω,θ,KHz
0,0,0,653.7326,0.0054,50
0,0,0,653.961,0.0069,50
0,0,0,653.7962,0.0072,50
0,0,0,654.5542,0.0061,50
0,0,0,653.1744,0.0059,50
0,0,0,669.9427,0.0075,50
0,0,0,671.1891,0.006,50
0,0,0,670.9699,0.0059,50
0,0,0,671.4646,0.0072,50
0,0,0,688.144,0.0069,50
0,0,0,688.4593,0.007,50
0,0,0,688.3852,0.0077,50
0,0,0,687.451,0.008,50
0,0,0,688.5442,0.0071,50
0,0,0,707.3703,0.0083,50
0,0,0,706.2195,0.0079,50
0,0,0,706.6688,0.007,50
0,0,0,705.9018,0.0072,50
0,0,0,706.3692,0.0092,50
0,0,0,724.4502,0.0084,50
0,0,0,723.3586,0.0097,50
0,0,0,724.0599,0.0086,50
0,0,0,723.4001,0.0093,50
0,0,0,737.0697,0.0103,50
0,0,0,736.7837,0.0087,50
0,0,0,736.2242,0.0097,50
0,0,0,737.0906,0.0084,50
0,0,0,737.1449,0.0088,50
0,0,0,753.9871,0.0095,50
0,0,0,753.2431,-0.01,50
0,0,0,754.2354,0.0093,50
0,0,0,754.7157,0.0096,50
0,0,0,754.8175,0.0097,50
0,0,0,772.409,0.0106,50
0,0,0,771.8989,0.0118,50
0,0,0,770.943,0.0109,50
0,0,0,771.4073,0.0123,50
0,0,0,789.2604,0.0107,50
0,0,0,788.6274,0.0127,50
0,0,0,788.6578,0.0129,50
0,0,0,788.1037,0.0124,50
0,0,0,788.5469,0.0128,50
0,0,0,805.9491,0.0133,50
0,0,0,805.3478,0.011,50
0,0,0,805.8111,0.0114,50
0,0,0,805.8859,0.0128,50
0,0,0,806.5178,0.0129,50
0,0,0,821.9526,0.0134,50
0,0,0,821.5696,0.0137,50
0,0,0,823.3781,0.0128,50
0,0,0,822.8948,0.0124,50
0,0,0,840.2596,0.0142,50
0,0,0,842.3126,0.0137,50
0,0,0,840.4086,0.0137,50
0,0,0,840.3058,0.0129,50
0,0,0,842.3126,0.0137,50
0,0,0,858.8846,0.0156,50
0,0,0,859.6878,0.0147,50
0,0,0,858.2642,0.0153,50
0,0,0,858.3952,0.0154,50
0,0,0,858.6005,0.0135,50
0,0,0,871.3245,0.016,50
0,0,0,871.1533,0.0156,50
0,0,0,869.2513,0.0157,50
0,0,0,870.2194,0.0158,50
0,0,0,869.5099,0.0149,50
0,0,0,888.5325,0.0168,50
0,0,0,887.001,0.0166,50
0,0,0,887.0285,0.0159,50
0,0,0,886.5333,0.015,50
0,0,0,904.3933,0.0161,50
0,0,0,906.4235,0.0167,50
0,0,0,904.0739,0.0166,50
0,0,0,904.4323,0.0164,50
0,0,0,905.6154,0.0156,50
0,0,0,923.1871,0.0187,50
0,0,0,920.7811,0.0178,50
0,0,0,921.233,0.0181,50
0,0,0,922.0269,0.019,50
0,0,0,922.1691,0.0181,50
0,0,0,939.7457,0.0188,50
0,0,0,940.5212,0.0184,50
0,0,0,940.7198,0.0188,50
0,0,0,937.9919,0.0182,50
0,0,0,956.9426,0.0181,50
0,0,0,955.8917,0.0178,50
0,0,0,957.7993,0.019,50
0,0,0,957.5167,0.0191,50
0,0,0,957.6365,0.0189,50
0,0,0,974.808,0.0206,50
0,0,0,975.0485,0.0192,50
0,0,0,973.4261,0.0204,50
0,0,0,974.2055,0.0186,50
0,0,0,974.0984,0.0209,50
0,0,0,991.7321,0.0218,50
0,0,0,992.2935,0.0214,50
0,0,0,991.9738,0.0192,50
0,0,0,993.0593,0.0192,50
0,0,0,1009.6868,0.0205,50
0,0,0,1010.2208,0.0198,50
0,0,0,1011.5363,0.021,50
0,0,0,1008.7451,0.0207,50
0,0,0,1010.1346,0.0203,50
0,0,0,1028.6454,0.0214,50
0,0,0,1027.6263,0.0224,50
0,0,0,1028.1807,0.0216,50
0,0,0,1026.2291,0.0219,50
0,0,0,1026.4569,0.0212,50
0,0,0,1045.5811,0.0236,50
0,0,0,1044.9073,0.0237,50
0,0,0,1043.6561,0.0233,50
0,0,0,1044.3649,0.0213,50
0,0,0,1061.9686,0.0221,50
0,0,0,1061.8722,0.0226,50
0,0,0,1060.8868,0.0243,50
0,0,0,1062.5679,0.0225,50
0,0,0,1061.8206,0.0223,50
0,0,0,1079.7153,0.0235,50
0,0,0,1077.0565,0.0252,50
0,0,0,1078.796,0.0247,50
0,0,0,1079.7153,0.0235,50
0,0,0,1079.5621,0.0237,50
0,0,0,1094.7715,0.0234,50
0,0,0,1096.3652,0.0251,50
0,0,0,1097.053,0.0246,50
0,0,0,1096.4152,0.0242,50
0,0,0,1096.6854,0.0259,50
0,0,0,1114.4098,0.0272,50
0,0,0,1112.3854,0.0255,50
0,0,0,1112.0039,0.0256,50
0,0,0,1114.5681,0.0246,50
0,0,0,1129.7782,0.0254,50
0,0,0,1130.0037,0.0256,50
0,0,0,1131.7528,0.0264,50
0,0,0,1131.1333,0.0276,50
0,0,0,1131.6974,0.0273,50
0,0,0,1132.5436,0.0263,50
0,0,0,1129.6127,0.0281,50
0,0,0,1129.1067,0.0275,50
0,0,0,1129.61,0.0256,50
